seed,run_date,run,target,grouped_quantity,sobol_first_order,what_it_is
20260916,2026-09-16,por,terminal_cash,cost_per_item_usd,0.004644,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,por,terminal_cash_rank,cost_per_item_usd,0.182051,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,por,peak_funding_requirement,cost_per_item_usd,0.201142,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,por,reaches_profitability,cost_per_item_usd,0.000840,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,por,terminal_cash,cost_of_one_bank_usd,0.006680,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,por,terminal_cash_rank,cost_of_one_bank_usd,0.336683,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,por,peak_funding_requirement,cost_of_one_bank_usd,0.375973,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,por,reaches_profitability,cost_of_one_bank_usd,0.001795,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,por,terminal_cash,cac_anchor_blended_usd,0.059150,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,por,terminal_cash_rank,cac_anchor_blended_usd,0.123796,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,por,peak_funding_requirement,cac_anchor_blended_usd,0.120394,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,por,reaches_profitability,cac_anchor_blended_usd,0.219687,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,por,terminal_cash,cac_effective_at_reference_spend_usd,0.103971,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,por,terminal_cash_rank,cac_effective_at_reference_spend_usd,0.173291,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,por,peak_funding_requirement,cac_effective_at_reference_spend_usd,0.169740,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,por,reaches_profitability,cac_effective_at_reference_spend_usd,0.311297,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,gtm_minimum,terminal_cash,cost_per_item_usd,0.001102,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,gtm_minimum,terminal_cash_rank,cost_per_item_usd,0.025238,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,gtm_minimum,peak_funding_requirement,cost_per_item_usd,0.032618,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,gtm_minimum,reaches_profitability,cost_per_item_usd,0.000000,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,gtm_minimum,terminal_cash,cost_of_one_bank_usd,0.001129,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,gtm_minimum,terminal_cash_rank,cost_of_one_bank_usd,0.045363,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,gtm_minimum,peak_funding_requirement,cost_of_one_bank_usd,0.059130,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,gtm_minimum,reaches_profitability,cost_of_one_bank_usd,0.000000,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,gtm_minimum,terminal_cash,cac_anchor_blended_usd,0.079929,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,gtm_minimum,terminal_cash_rank,cac_anchor_blended_usd,0.164923,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,gtm_minimum,peak_funding_requirement,cac_anchor_blended_usd,0.178113,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,gtm_minimum,reaches_profitability,cac_anchor_blended_usd,0.242972,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,gtm_minimum,terminal_cash,cac_effective_at_reference_spend_usd,0.132954,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
